@timestamp,@billedDuration,@duration,@initDuration,,,
09:08.0,869,10.21,858.69,,,
20:45.5,857,5.7,850.47,,,
32:21.2,861,5.85,855.1,,,
43:56.4,881,19.12,861.62,,,
55:29.8,887,8.97,878,,,
07:06.3,878,6.09,871.03,,,
18:41.9,867,17.81,848.24,,,
30:19.0,864,19.35,844.42,,858.5,881.3
41:55.4,847,5.89,840.71,,,
53:28.8,838,5.88,831.46,,,
05:03.5,849,9.35,838.78,,,
16:38.9,871,5.71,864.76,,,
28:15.9,817,5.5,810.51,,,
39:49.2,858,5.57,851.81,,,
51:23.1,855,5.57,849.25,,,
02:56.1,856,6.56,848.93,,,
14:30.4,851,12.79,837.76,,,
26:08.0,866,5.78,859.76,,,
37:39.4,835,5.61,828.6,,,
49:14.3,863,5.83,856.34,,,
