@timestamp,@billedDuration,@duration,@initDuration,total,,,
09:18.6,23,22.16,1016.34,1039.34,,,
20:55.5,23,22.36,1052.31,1075.31,,,
32:31.9,8,7.33,1029.74,1037.74,,,
44:07.2,17,16.96,1030.71,1047.71,,,
55:41.6,11,10.83,1028.18,1039.18,,,
07:16.6,14,13.71,1009.99,1023.99,,,
18:53.6,11,10.16,1068.52,1079.52,,,
30:28.7,9,8.7,1023.19,1032.19,,,
42:04.6,11,10.8,1047.97,1058.97,,,
53:39.9,9,8.43,1027.14,1036.14,,1045.5355,1075.5205
05:13.4,15,14.63,1016.99,1031.99,,,
16:49.7,23,22.46,1051.27,1074.27,,,
28:26.3,8,7.42,1019.94,1027.94,,,
39:59.8,11,10.36,1020.94,1031.94,,,
51:32.6,8,7.63,1053.06,1061.06,,,
03:06.1,15,14.41,997.26,1012.26,,,
14:41.4,15,14.24,1053.29,1068.29,,,
26:15.4,8,7.87,1043.64,1051.64,,,
37:50.1,11,10.57,1044.9,1055.9,,,
49:25.2,20,19.9,1005.33,1025.33,,,
