@timestamp,@billedDuration,@duration,@initDuration,,,,
09:30.3,586,138.38,446.99,,,,
21:06.3,530,113.82,416.16,,,,
32:42.4,553,126.69,425.67,,,,
44:17.4,569,131.28,437.43,,,,
55:51.9,556,123.45,431.58,,,,
07:28.9,602,137.85,463.3,,,,
19:04.0,546,122.27,423.56,,,559.1,587.75
30:40.5,545,110.53,434.17,,,,
42:14.8,547,114.09,432.49,,,,
53:49.6,556,117.7,438.01,,,,
05:25.0,551,124.47,425.64,,,,
17:00.8,554,127.25,426.06,,,,
28:36.1,551,110.65,439.77,,,,
40:10.1,583,138.92,443.61,,,,
51:42.8,546,124.69,420.4,,,,
03:16.4,554,118.12,435.12,,,,
14:52.1,587,137.12,449.55,,,,
26:26.3,559,134.1,423.94,,,,
38:01.2,548,123.32,423.71,,,,
49:35.3,559,132.71,425.69,,,,
