@timestamp,@billedDuration,@duration,@initDuration,total,,
09:41.8,173,172.46,513.37,686.37,,
21:18.7,167,166.1,519.76,686.76,,
32:55.3,173,172.58,513.66,686.66,,
44:30.4,179,178.5,506.97,685.97,,
56:04.7,167,166.53,514.56,681.56,,
07:41.7,181,180.71,516.54,697.54,,
19:16.4,179,178.85,514.93,693.93,,
30:53.2,165,164.55,513.8,678.8,679.066,697.8475
42:27.7,162,161.65,503.11,665.11,,
54:02.8,176,175.95,505.17,681.17,,
05:36.6,166,165.98,510.55,676.55,,
17:14.1,169,168.43,534.69,703.69,,
28:48.7,150,149.56,499.09,649.09,,
40:23.0,168,167.09,494.58,662.58,,
51:54.9,167,166.1,515.17,682.17,,
03:28.9,164,163.88,508.83,672.83,,
15:05.4,164,163,500.43,664.43,,
26:38.7,178,177.7,508.06,686.06,,
38:13.4,169,168.77,501.67,670.67,,
49:48.0,158,157.58,511.38,669.38,,
