@timestamp,@billedDuration,@duration,@initDuration,total,,,
09:43.9,128,127.73,492.78,620.78,,,
21:20.4,145,144.14,521.82,666.82,,,
32:56.6,137,136.45,504.43,641.43,,,
44:31.6,140,139.89,514.15,654.15,,,
56:06.1,144,143.67,509.18,653.18,,,
07:43.1,134,133.34,509.76,643.76,,,
19:17.9,131,130.73,492.83,623.83,,,
30:54.0,136,135.34,518.79,654.79,,,
42:29.5,128,127.7,505.13,633.13,,,
54:04.4,138,137.69,495.01,633.01,,640.843,661.3575
05:38.5,130,129.11,502.71,632.71,,,
17:15.5,128,127,508.64,636.64,,,
28:50.4,132,131.15,497.73,629.73,,,
40:24.7,129,128.24,507.4,636.4,,,
51:56.3,147,146.56,514.07,661.07,,,
03:29.9,131,130.96,518.19,649.19,,,
15:07.5,144,143.4,497.4,641.4,,,
26:40.9,132,131.34,505.85,637.85,,,
38:15.0,128,127.12,493.89,621.89,,,
49:49.6,139,138.37,506.1,645.1,,,
