@timestamp,@billedDuration,@duration,@initDuration,total,,,
10:18.1,6294,6293.37,468.47,6762.47,,,
21:53.7,6455,6454.27,463.75,6918.75,,,
33:30.0,6204,6203.29,446.84,6650.84,,,
45:03.8,6236,6235.95,464.63,6700.63,,6716.2695,6907.2835
56:38.7,6210,6209.58,458.82,6668.82,,,
08:16.4,6288,6287.81,488.9,6776.9,,,
19:50.0,6328,6327.89,493.92,6821.92,,,
31:27.9,6370,6369.9,536.68,6906.68,,,
43:02.1,6261,6260.12,460.56,6721.56,,,
54:36.3,6259,6258.56,479.55,6738.55,,,
06:11.2,6221,6220.14,460.73,6681.73,,,
17:48.1,6170,6169.82,454.73,6624.73,,,
29:22.6,6335,6334.73,481.83,6816.83,,,
40:57.2,6238,6237.75,452.8,6690.8,,,
52:28.6,6281,6280.46,465.54,6746.54,,,
04:03.3,6220,6219.1,457.48,6677.48,,,
15:40.2,6181,6180.5,453.81,6634.81,,,
27:12.5,6292,6291.35,486.61,6778.61,,,
38:48.1,6243,6242.26,472.02,6715.02,,,
50:21.3,5894,5893.18,397.72,6291.72,,,
