@timestamp,@billedDuration,@duration,@initDuration,,,
10:10.8,1847,1295.74,550.42,,,
21:46.1,1733,1261.26,470.74,,,
33:22.8,1677,1264.84,411.78,,,
44:56.3,1689,1265.54,422.66,,,
56:30.7,1774,1294.85,478.74,,,
08:08.3,1777,1287.36,489.19,,,
19:42.6,1703,1272.27,430.62,,,
31:19.8,1886,1300.61,585.01,,,
42:54.7,1669,1252.85,415.78,,,
54:28.4,1712,1265.58,445.57,,,
06:03.9,1761,1285.12,475.56,,,
17:41.0,1743,1287.85,454.41,,1742.4,1848.95
29:15.2,1785,1307.34,477.04,,,
40:49.4,1716,1273.57,441.71,,,
52:21.2,1762,1287.27,474.61,,,
03:55.1,1664,1267.26,396.57,,,
15:33.1,1762,1301.38,459.8,,,
27:05.2,1713,1279.33,432.8,,,
38:40.1,1713,1262.72,449.82,,,
50:14.3,1762,1272,489.78,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
