@timestamp,@billedDuration,@duration,@initDuration,,,,,
21:28.4,1722,608.49,1113.5,,,,,
32:24.4,1913,697.64,1214.47,,,,,
24:51.0,1896,723.73,1171.7,,,,1895.3,2060.45
35:53.5,1847,681.98,1164.45,,,,,
46:52.2,1845,658.64,1186.2,,,,,
57:49.2,1901,646.95,1253.13,,,,,
08:48.1,1922,745.98,1175.72,,,,,
19:45.9,1872,673.71,1198.22,,,,,
30:44.9,1981,752.62,1227.5,,,,,
41:42.4,1840,669.74,1170.07,,,,,
45:42.2,2183,778.29,1403.98,,,,,
56:02.5,1770,653.23,1116.56,,,,,
07:04.2,1855,701.42,1152.88,,,,,
18:07.7,1841,674.54,1166.24,,,,,
29:10.3,1909,717.53,1191.06,,,,,
40:12.1,1805,626.91,1177.35,,,,,
51:14.8,1925,709.87,1214.99,,,,,
02:19.3,1995,763.33,1230.79,,,,,
13:24.5,2054,760.58,1292.99,,,,,
24:29.8,1830,670.75,1158.63,,,,,
