@timestamp,@billedDuration,@duration,@initDuration,total,3855.137,3950.585
21:39.8,3393,3392.34,449.03,3842.03,,
32:38.0,3270,3269.64,441.2,3711.2,,
25:09.7,3423,3422.77,448.82,3871.82,,
36:08.7,3486,3485.83,472.47,3958.47,,
47:08.6,3364,3363.24,457.75,3821.75,,
58:04.5,3479,3478.29,471.17,3950.17,,
09:02.9,3356,3355.25,458.11,3814.11,,
20:01.3,3382,3381.61,459.01,3841.01,,
31:00.3,3418,3417.54,455.37,3873.37,,
41:58.1,3349,3348.95,456.36,3805.36,,
56:16.9,3452,3451.59,460.41,3912.41,,
07:19.8,3474,3473.43,470.81,3944.81,,
18:22.2,3351,3350.58,442.98,3793.98,,
29:24.6,3444,3443.34,457.56,3901.56,,
40:27.8,3385,3385,444.39,3829.39,,
51:31.7,3440,3439.49,457.69,3897.69,,
02:35.9,3454,3454,466.9,3920.9,,
13:40.3,3439,3438.6,462.41,3901.41,,
24:44.4,3396,3395.53,457.36,3853.36,,
35:45.9,3214,3213.2,443.94,3657.94,,
