@timestamp,@billedDuration,@duration,@initDuration,total,3401.3585,3566.55,,
53:19.1,2884,2883.44,448.27,3332.27,,,,
21:33.8,2902,2901.91,453.69,3355.69,,,,
32:32.9,2868,2867.8,447.65,3315.65,,,,
25:03.2,3009,3008.17,466.25,3475.25,,,,
36:03.2,2792,2791.36,437.94,3229.94,,,,
47:03.6,2878,2877.39,437.99,3315.99,,,,
57:59.3,2895,2894.44,461.04,3356.04,,,,
08:58.0,2901,2900.61,444.5,3345.5,,,,
19:55.5,2895,2894.81,440.66,3335.66,,,,
30:54.5,2947,2946.58,456.45,3403.45,,,,
41:52.2,2910,2909.02,454.22,3364.22,,,2944.2,3079.15
56:11.7,3011,3010.38,457.4,3468.4,,,,
07:14.1,2870,2869.99,448.99,3318.99,,,,
18:17.0,2938,2937.38,450.42,3388.42,,,,
29:19.3,3021,3020.58,468.75,3489.75,,,,
40:22.3,2916,2915.9,458.9,3374.9,,,,
51:26.2,3040,3039.94,465.12,3505.12,,,,
02:30.7,3120,3119.83,487.78,3607.78,,,,
13:35.0,3077,3076.47,487.38,3564.38,,,,
24:39.4,3010,3009.47,469.77,3479.77,,,,
