@timestamp,@billedDuration,@duration,@initDuration,,,
52:42.8,2286,848.43,1436.91,,,
04:14.1,2192,865.43,1325.83,,,
15:56.4,1967,898.18,1068.43,,,
27:33.2,2086,918.17,1167.64,,,
39:04.5,2027,912.1,1114.85,,,
50:48.0,2099,955.7,1142.72,,,
02:19.9,1966,883.94,1081.75,,,
13:50.2,1999,888.82,1109.89,,,
25:33.6,2254,1098.62,1154.6,,2069.65,2261.3
37:09.0,2031,920.12,1110.58,,,
48:42.1,2121,986.59,1133.45,,,
00:15.3,2260,1009.83,1249.61,,,
11:47.8,2134,969.45,1164.33,,,
23:20.9,1970,875.73,1094.03,,,
34:53.7,2030,917.46,1112.26,,,
46:26.1,2043,904.98,1137.4,,,
57:54.4,1905,836.29,1068.51,,,
09:26.4,1972,888.76,1083.16,,,
07:28.0,1980,879.16,1100.4,,,
19:02.3,2071,947.92,1122.1,,,
