@timestamp,@billedDuration,@duration,@initDuration,total,3979.908,4068.0405,
04:26.3,3525,3524.44,446.91,3971.91,,,
16:08.9,3568,3567.6,449.54,4017.54,,,
27:44.8,3433,3432.58,426.77,3859.77,,,
39:26.3,3497,3496.04,437.3,3934.3,,,
50:59.1,3516,3515.32,437.99,3953.99,,,
02:32.1,3490,3489.77,441.88,3931.88,,,
14:02.4,3568,3567.42,449.86,4017.86,,,
25:45.1,3560,3559.44,452.51,4012.51,,,
37:24.8,3493,3492.11,443.21,3936.21,,3536.8,3622
48:54.5,3439,3438.61,432.28,3871.28,,,
00:27.9,3474,3473.16,441.41,3915.41,,,
12:00.3,3519,3518.54,440.89,3959.89,,,
23:33.2,3580,3579.26,440.64,4020.64,,,
35:04.7,3660,3659.84,457.64,4117.64,,,
46:37.8,3602,3601.73,447.62,4049.62,,,
58:06.6,3508,3507.21,446.11,3954.11,,,
09:38.9,3620,3619.69,445.43,4065.43,,,
21:23.5,3615,3614.61,444.77,4059.77,,,
32:57.5,3526,3525.35,438.8,3964.8,,,
44:31.0,3543,3542.77,440.6,3983.6,,,
