@timestamp,@billedDuration,@duration,@initDuration,,,
13:29.2,532,155.43,375.7,,,
26:27.5,648,139.74,507.37,,,
39:26.4,565,161.94,402.2,,,
05:16.1,551,151.19,399.13,,,
18:11.6,542,151.54,390.45,,,
30:56.1,515,126.89,387.37,,,
43:37.7,535,147.84,387.05,,,
56:24.1,548,161.02,386.11,,550.15,588.15
09:29.8,526,151.04,374.91,,,
22:15.3,555,149.96,404.48,,,
35:10.2,585,175.06,409.24,,,
48:12.5,569,161.5,407.16,,,
00:58.1,536,152.51,383.42,,,
14:00.0,535,145.26,388.83,,,
26:48.3,548,152.27,394.9,,,
39:31.1,528,146.39,381.52,,,
52:12.5,533,146.15,385.96,,,
05:14.4,559,154.32,404.63,,,
18:00.6,544,147.21,396.3,,,
30:54.4,549,167.94,380.87,,,
