@timestamp,@billedDuration,@duration,@initDuration,total,506.639,528.3365
13:38.8,103,102.07,398.09,501.09,,
26:38.3,89,88.51,411.37,500.37,,
39:36.8,105,104.26,400.28,505.28,,
52:32.4,91,90.86,400.74,491.74,,
05:25.8,86,85.72,405.61,491.61,,
18:21.0,106,105.07,415.32,521.32,,
31:06.4,102,101.23,426.65,528.65,,
43:47.1,90,89.46,406.7,496.7,,
56:33.1,104,103.08,404.75,508.75,,
09:38.2,104,103.46,404.81,508.81,,
22:24.0,89,88.39,411.29,500.29,,
35:19.9,102,101.81,414.92,516.92,,
48:20.9,97,96.1,423.92,520.92,,
01:08.1,96,95.23,408.96,504.96,,
14:10.3,102,101.72,409.85,511.85,,
26:56.5,95,94.25,391.18,486.18,,
39:41.2,95,94.85,396.71,491.71,,
52:21.3,98,97.04,430.32,528.32,,
05:25.4,100,99.35,411.87,511.87,,
18:10.0,99,98.32,406.44,505.44,,
