@timestamp,@billedDuration,@duration,@initDuration,,,,
42:09.9,390,179.2,210.28,,,,
53:54.2,378,166.44,211.27,,,,
05:36.9,384,164.84,218.86,,,,
17:09.5,371,166.42,204.5,,,,
28:44.8,386,170.62,215.16,,,381.5,398.1
40:27.3,395,172.63,221.54,,,,
52:00.0,377,177.68,198.94,,,,
03:33.2,362,145.95,215.75,,,,
15:12.4,398,176.38,221.5,,,,
26:49.7,368,164.89,202.31,,,,
38:23.1,397,167.1,229.6,,,,
49:57.1,370,158.07,211.51,,,,
01:30.3,400,173.35,226.48,,,,
13:01.0,361,154.47,206.23,,,,
24:33.9,384,171.01,212.59,,,,
36:06.5,380,172.01,207.16,,,,
47:37.7,374,153.67,220.05,,,,
59:08.9,386,179.97,205.36,,,,
10:39.5,379,166.62,211.88,,,,
22:24.7,390,166.05,223.49,,,,
