@timestamp,@billedDuration,@duration,@initDuration,total,290.9855,305.503
42:16.0,124,123.01,164.77,288.77,,
54:01.6,132,131.11,158.22,290.22,,
05:42.6,121,120.16,160.55,281.55,,
17:16.6,136,135.37,166.61,302.61,,
28:51.5,141,140.94,156.36,297.36,,
40:34.8,135,134.92,162.06,297.06,,
52:06.8,120,119.58,163.64,283.64,,
03:39.5,126,125.75,160.3,286.3,,
15:19.8,138,137.98,163.23,301.23,,
26:55.9,138,137.16,160.16,298.16,,
38:30.1,108,107.22,160.73,268.73,,
50:02.7,138,137.37,168.13,306.13,,
01:37.2,125,124.62,161.8,286.8,,
13:07.4,123,122.81,159.13,282.13,,
24:40.4,136,135.93,161.4,297.4,,
36:12.8,119,118.93,160.11,279.11,,
47:44.7,141,140.68,164.47,305.47,,
59:14.5,129,128.55,168.22,297.22,,
10:45.9,136,135.62,161.37,297.37,,
22:30.8,115,114.87,157.45,272.45,,
