@timestamp,@billedDuration,@duration,@maxMemoryUsed,@initDuration,,,,
00:55.0,65,64.13,198000000,,,,,
01:05.1,44,43.92,198000000,,,,,
01:15.2,44,43.5,199000000,,,,,
01:25.3,40,39.41,199000000,,,,,
01:35.4,32,31.62,199000000,,,,,
01:45.5,32,31.25,199000000,,,,,
01:55.6,36,35.68,199000000,,,,,
02:05.7,48,47.77,200000000,,,,,
02:15.9,36,35.91,200000000,,49.86,100,54.8,17.64293432
02:26.0,49,48.96,200000000,,,,,
02:36.1,42,41.15,201000000,,,,,
02:46.2,56,55.69,201000000,,,,,
02:56.3,61,60.21,201000000,,,,,
03:06.4,48,47.28,201000000,,,,,
03:16.6,50,49.06,201000000,,,,,
03:26.7,48,47.25,201000000,,,,,
03:36.8,36,35.63,201000000,,,,,
03:46.9,52,51.81,201000000,,,,,
03:57.0,44,43.24,201000000,,,,,
04:07.1,53,52.57,201000000,,,,,
04:17.3,111,110.3,201000000,,,,,
04:27.3,40,39.21,201000000,,,,,
04:37.5,48,47.11,201000000,,,,,
04:47.6,53,52.95,201000000,,,,,
04:57.7,32,31.16,201000000,,,,,
05:07.8,36,35.38,201000000,,,,,
05:17.9,48,47.32,201000000,,,,,
05:28.0,50,49.84,201000000,,,,,
05:38.1,59,58.06,201000000,,,,,
05:48.3,103,102.34,201000000,,,,,
05:58.5,85,84.79,201000000,,,,,
06:08.9,41,40.16,201000000,,,,,
06:19.0,42,41.46,201000000,,,,,
06:29.2,91,90.52,201000000,,,,,
06:39.3,48,47.51,201000000,,,,,
06:49.5,36,35.61,201000000,,,,,
06:59.6,55,54.68,201000000,,,,,
07:09.7,64,63.31,201000000,,,,,
07:19.8,36,35.03,201000000,,,,,
07:29.9,36,35.48,202000000,,,,,
07:40.0,44,43.47,202000000,,,,,
07:50.1,48,47.88,202000000,,,,,
08:00.2,32,31.15,202000000,,,,,
08:10.5,51,50.13,202000000,,,,,
08:20.6,36,35.16,202000000,,,,,
08:30.7,49,48.8,202000000,,,,,
08:40.8,100,99.31,202000000,,,,,
08:51.0,53,52.98,202000000,,,,,
09:01.1,41,40.21,202000000,,,,,
09:11.2,32,31.3,202000000,,,,,
09:21.3,32,31.23,202000000,,,,,
09:31.4,73,72.41,202000000,,,,,
09:41.5,52,51.04,202000000,,,,,
09:51.6,44,43.3,202000000,,,,,
10:01.7,49,48.29,202000000,,,,,
10:11.9,64,63.37,202000000,,,,,
10:22.0,54,53.67,202000000,,,,,
10:32.1,40,39.44,202000000,,,,,
10:42.2,32,31.61,202000000,,,,,
10:52.3,103,102.43,202000000,,,,,
11:02.4,40,39.57,202000000,,,,,
11:12.5,33,32,202000000,,,,,
11:22.6,52,51.73,202000000,,,,,
11:32.7,36,35.14,202000000,,,,,
11:42.8,40,39.95,202000000,,,,,
11:52.9,49,48.01,202000000,,,,,
12:03.1,32,31.29,202000000,,,,,
12:13.2,44,43.14,202000000,,,,,
12:23.4,36,35.68,202000000,,,,,
12:33.7,111,110.44,202000000,,,,,
12:43.7,40,39.42,202000000,,,,,
12:53.9,40,39.26,202000000,,,,,
13:04.1,58,57.52,202000000,,,,,
13:14.2,42,41.06,202000000,,,,,
13:24.4,100,99.38,202000000,,,,,
13:34.5,40,39.49,202000000,,,,,
13:44.7,44,43.38,202000000,,,,,
13:54.9,67,66.82,202000000,,,,,
14:05.0,49,48.84,202000000,,,,,
14:15.1,44,43.16,202000000,,,,,
14:25.2,58,57.94,202000000,,,,,
14:35.4,48,47.27,202000000,,,,,
14:45.5,52,51.71,202000000,,,,,
14:55.6,49,48.68,202000000,,,,,
15:05.7,49,48.31,202000000,,,,,
15:15.9,48,47.38,202000000,,,,,
15:26.0,48,47.43,202000000,,,,,
15:36.1,32,31.63,202000000,,,,,
15:46.2,54,53.35,202000000,,,,,
15:56.4,40,39.35,202000000,,,,,
16:06.5,40,39.66,202000000,,,,,
16:16.6,51,50.15,202000000,,,,,
16:26.7,36,35.07,202000000,,,,,
16:36.8,51,50.85,202000000,,,,,
16:46.9,45,44.65,202000000,,,,,
16:57.0,32,31.09,202000000,,,,,
17:07.1,48,47.15,202000000,,,,,
17:17.3,68,67.59,202000000,,,,,
17:27.4,36,35.49,202000000,,,,,
17:37.5,45,44,202000000,,,,,
