@timestamp,@billedDuration,@duration,@maxMemoryUsed,@initDuration,,,,,
28:16.8,186,185.58,192000000,,,,,,
29:18.5,1695,1694.36,192000000,,,,,,
30:18.7,192,191.61,192000000,,,,,,
31:18.9,110,109.96,192000000,,,,,,
32:19.1,113,112.52,192000000,,,,,,
33:22.7,3243,3242.32,192000000,,,669.33,4454.1,201.8,1505.492027
34:22.8,117,116.81,192000000,,,,,,
35:23.0,118,117.33,192000000,,,,,,
36:23.5,122,121.92,192000000,,,,,,
37:23.7,175,174.77,192000000,,,,,,
38:24.0,179,178.21,192000000,,,,,,
39:24.2,110,109.97,192000000,,,,,,
40:24.4,135,134.65,192000000,,,,,,
41:24.6,118,117.11,192000000,,,,,,
42:25.0,135,134.95,192000000,,,,,,
43:26.5,1210,1209.9,192000000,,,,,,
44:26.8,108,107.25,192000000,,,,,,
45:27.0,145,144.38,192000000,,,,,,
46:29.5,2439,2438.27,192000000,,,,,,
47:37.1,7567,7566.5,192000000,,,,,,
48:37.4,133,132.88,192000000,,,,,,
49:37.6,164,163.15,192000000,,,,,,
50:37.7,127,126.5,192000000,,,,,,
51:38.0,167,166.51,192000000,,,,,,
52:38.2,147,146.82,192000000,,,,,,
53:38.4,133,132.82,192000000,,,,,,
54:38.5,125,124.21,192000000,,,,,,
55:39.4,770,769.45,192000000,,,,,,
56:43.9,4266,4265.7,192000000,,,,,,
57:44.2,114,113.45,192000000,,,,,,
58:44.5,141,140.04,192000000,,,,,,
59:44.7,120,119.64,192000000,,,,,,
00:45.3,140,139.84,192000000,,,,,,
01:45.5,124,123.53,192000000,,,,,,
02:45.6,130,129.01,192000000,,,,,,
03:53.4,7699,7698.29,192000000,,,,,,
04:53.9,176,175.27,192000000,,,,,,
05:54.1,150,149.6,192000000,,,,,,
06:54.3,109,108.63,192000000,,,,,,
07:58.9,4566,4565.62,192000000,,,,,,
08:59.2,149,148.6,192000000,,,,,,
09:59.6,110,109.53,192000000,,,,,,
11:01.7,2002,2001.7,192000000,,,,,,
12:01.9,144,143.91,192000000,,,,,,
13:02.1,104,103.3,192000000,,,,,,
14:02.2,116,115.85,192000000,,,,,,
15:02.4,136,135.25,192000000,,,,,,
16:02.6,115,114.07,192000000,,,,,,
17:02.9,136,135.36,192000000,,,,,,
18:03.0,112,111.41,192000000,,,,,,
19:03.7,137,136.54,192000000,,,,,,
20:04.0,225,224.63,192000000,,,,,,
21:04.3,120,119.78,192000000,,,,,,
22:04.5,158,157.53,192000000,,,,,,
23:09.3,4464,4463.31,192000000,,,,,,
24:09.5,154,153.45,192000000,,,,,,
25:09.7,128,127.67,192000000,,,,,,
26:09.9,141,140.11,192000000,,,,,,
27:10.3,151,150.82,192000000,,,,,,
28:10.5,124,123.72,192000000,,,,,,
29:11.6,111,110.95,192000000,,,,,,
30:13.8,2139,2138.65,192000000,,,,,,
31:14.0,109,108.01,192000000,,,,,,
32:14.2,145,144.33,192000000,,,,,,
33:15.5,202,201.76,192000000,,,,,,
34:15.8,180,179.76,192000000,,,,,,
35:15.9,120,119.48,192000000,,,,,,
36:22.8,6828,6827.15,192000000,,,,,,
37:23.0,163,162.48,192000000,,,,,,
38:23.2,126,125.17,192000000,,,,,,
39:23.4,129,128.88,192000000,,,,,,
40:23.6,129,128.8,192000000,,,,,,
41:24.0,444,443.18,192000000,,,,,,
42:24.4,145,144.14,192000000,,,,,,
43:24.9,129,128.18,192000000,,,,,,
44:25.4,122,121.22,192000000,,,,,,
45:25.9,112,111.77,192000000,,,,,,
46:26.2,207,206.11,192000000,,,,,,
47:26.4,201,200.86,192000000,,,,,,
48:26.7,129,128.4,192000000,,,,,,
49:26.9,139,138.49,192000000,,,,,,
50:27.1,143,142.36,192000000,,,,,,
51:27.3,162,161.25,192000000,,,,,,
52:27.5,148,147.26,192000000,,,,,,
53:27.7,168,167.07,192000000,,,,,,
54:29.3,1611,1610.86,192000000,,,,,,
55:29.6,110,109.07,192000000,,,,,,
56:29.7,113,112.97,192000000,,,,,,
57:30.5,125,124.15,192000000,,,,,,
58:31.6,1031,1030.48,192000000,,,,,,
59:31.9,134,133.15,192000000,,,,,,
00:32.7,168,167.23,192000000,,,,,,
01:36.2,3399,3398.37,192000000,,,,,,
02:36.4,110,109.56,192000000,,,,,,
03:36.6,154,153.19,192000000,,,,,,
04:36.9,151,150.75,192000000,,,,,,
05:37.0,120,119.86,192000000,,,,,,
06:37.3,135,134.65,192000000,,,,,,
07:37.5,128,127.99,192000000,,,,,,
08:38.2,170,169.48,192000000,,,,,,
