@timestamp,@billedDuration,@duration,@maxMemoryUsed,@initDuration,,,,,
09:11.8,210,209.81,320000000,,,,,,
10:42.3,30392,30391.73,320000000,,,,,,
11:43.9,2817,2816.15,320000000,,,,,,
12:48.7,4725,4724.77,320000000,,,,,,
14:01.0,12184,12183.26,320000000,,,,,,
15:19.4,18206,18205.4,320000000,,,,,,
16:19.7,199,198.02,320000000,,,,,,
17:22.4,2600,2599.38,320000000,,,4264.35,16306.9,8932.2,6248.641671
18:23.8,199,198.25,320000000,,,,,,
19:24.2,197,196.96,320000000,,,,,,
20:24.6,197,196.65,320000000,,,,,,
21:24.9,208,207.9,320000000,,,,,,
22:26.8,1043,1042.72,320000000,,,,,,
23:27.3,215,214.05,320000000,,,,,,
24:28.5,1227,1226.43,320000000,,,,,,
25:28.9,217,216.26,320000000,,,,,,
26:40.9,11950,11949.43,320000000,,,,,,
27:43.5,2483,2482.32,320000000,,,,,,
28:43.8,205,204.65,320000000,,,,,,
30:55.8,218,217.87,320000000,,,,,,
32:07.7,11841,11840.66,320000000,,,,,,
33:08.0,210,209.01,320000000,,,,,,
34:19.3,11138,11137.11,320000000,,,,,,
35:20.5,1075,1074.02,320000000,,,,,,
36:20.9,210,209.01,320000000,,,,,,
37:21.2,266,265.13,320000000,,,,,,
38:21.5,212,211.92,320000000,,,,,,
39:23.7,2132,2131.67,320000000,,,,,,
40:24.9,1039,1038.31,320000000,,,,,,
41:26.8,1838,1837.22,320000000,,,,,,
42:39.7,12830,12829.52,320000000,,,,,,
43:40.0,200,199.44,320000000,,,,,,
44:40.4,208,207.07,320000000,,,,,,
46:11.0,30436,30435.63,320000000,,,,,,
47:09.9,222,221.54,320000000,,,,,,
48:10.2,203,202.73,320000000,,,,,,
49:11.0,737,736.32,320000000,,,,,,
50:11.2,192,191.1,320000000,,,,,,
51:11.5,191,190.79,320000000,,,,,,
52:21.3,9765,9764.26,320000000,,,,,,
53:22.8,1418,1417.36,320000000,,,,,,
54:23.1,201,200.66,320000000,,,,,,
55:28.3,5211,5210.53,320000000,,,,,,
56:28.7,223,222.91,320000000,,,,,,
57:29.0,222,221.38,320000000,,,,,,
58:30.2,1056,1055.54,320000000,,,,,,
59:33.0,2731,2730.86,320000000,,,,,,
00:33.3,241,240.88,320000000,,,,,,
01:33.6,193,192.23,320000000,,,,,,
02:33.8,208,207.84,320000000,,,,,,
03:34.9,1046,1045.88,320000000,,,,,,
04:35.2,257,256.19,320000000,,,,,,
05:44.3,9116,9115.64,320000000,,,,,,
06:48.5,4109,4108.19,320000000,,,,,,
07:48.8,208,207.21,320000000,,,,,,
08:56.9,7940,7939.74,320000000,,,,,,
10:06.2,9227,9226.16,320000000,,,,,,
11:21.4,15145,15144.24,320000000,,,,,,
12:24.5,3034,3033.15,320000000,,,,,,
13:24.8,200,199.29,320000000,,,,,,
14:25.0,204,203.44,320000000,,,,,,
15:25.3,218,217.07,320000000,,,,,,
16:31.5,5982,5981.01,320000000,,,,,,
17:45.7,14078,14077.73,320000000,,,,,,
18:48.3,2461,2460.96,320000000,,,,,,
19:49.0,621,620.17,320000000,,,,,,
20:50.7,1557,1556.17,320000000,,,,,,
21:50.9,208,207.57,320000000,,,,,,
22:51.3,220,219.01,320000000,,,,,,
23:57.9,6583,6582.84,320000000,,,,,,
25:14.3,16332,16331.49,320000000,,,,,,
26:14.7,205,204.62,320000000,,,,,,
27:20.2,3719,3718.73,320000000,,,,,,
28:20.5,195,194.85,320000000,,,,,,
29:20.8,208,207.51,320000000,,,,,,
30:23.2,2320,2319.99,320000000,,,,,,
31:25.0,1772,1771.28,320000000,,,,,,
32:26.5,1358,1357.14,320000000,,,,,,
33:26.8,194,193.04,320000000,,,,,,
34:31.4,4639,4638.73,320000000,,,,,,
35:38.1,6555,6554.96,320000000,,,,,,
36:46.4,8197,8196.78,320000000,,,,,,
37:49.3,2836,2835.11,320000000,,,,,,
38:49.7,197,196.85,320000000,,,,,,
40:05.5,15830,15829.17,320000000,,,,,,
41:08.3,2746,2745.74,320000000,,,,,,
42:09.6,1183,1182.15,320000000,,,,,,
43:09.8,187,186.28,320000000,,,,,,
44:14.9,4985,4984.29,320000000,,,,,,
45:24.4,9442,9441.75,320000000,,,,,,
46:24.6,211,210.04,320000000,,,,,,
47:24.9,213,212.28,320000000,,,,,,
48:27.4,2420,2419.14,320000000,,,,,,
49:39.1,11648,11647.81,320000000,,,,,,
50:48.7,9490,9489.04,320000000,,,,,,
52:12.3,23434,23433.97,320000000,,,,,,
53:17.6,5180,5179.94,320000000,,,,,,
54:24.5,6768,6767.99,320000000,,,,,,
55:36.9,12279,12278.01,320000000,,,,,,
56:40.0,2937,2936.06,320000000,,,,,,
