@timestamp,@billedDuration,@duration,@initDuration,,,,,
29:37.4,19585,18995.63,589.15,,,,,
41:50.3,22442,21816.96,624.91,,,,,
54:01.2,19619,19016.98,601.52,,,,,
06:11.0,20330,19720.49,609.34,,,,,
18:24.5,20982,20350.42,630.92,,,,,
30:33.4,20205,19492.84,712.05,,,,,
42:46.8,22075,21428.28,646.48,,,,,
54:57.5,19992,19383.05,608.75,,,,,
18:57.3,20252,19538.51,712.73,,,,20892.95,22870.85
31:13.5,23742,23089.46,651.78,,,,,
43:28.6,20628,20019.09,608.57,,,,,
55:40.7,19919,19257.99,660.96,,,,,
07:55.6,21992,21378.3,613.46,,,,,
20:09.0,19198,18656.6,541.29,,,,,
32:21.0,20655,20046.45,607.66,,,,,
44:37.2,22825,22191.62,633.16,,,,,
56:51.6,21834,21093.85,739.69,,,,,
20:54.2,19393,18747.34,645.43,,,,,
33:11.5,21443,20781.36,661.56,,,,,
45:23.6,20748,20053.49,693.96,,,,,
