@timestamp,@billedDuration,@duration,@initDuration,total,5008.7645,5275.5235
55:40.3,4618,4617.49,445.03,5063.03,,
07:52.9,4576,4575.25,546.42,5122.42,,
20:02.8,4377,4376.72,464.61,4841.61,,
32:14.0,4431,4430.75,668.29,5099.29,,
44:27.3,4491,4490.2,426.38,4917.38,,
56:37.2,4248,4247.22,435.08,4683.08,,
08:26.8,4524,4523.84,449.83,4973.83,,
20:39.5,4277,4276.8,395.3,4672.3,,
32:56.8,4226,4225.21,434.1,4660.1,,
45:10.2,4654,4653.75,450.51,5104.51,,
57:23.0,4508,4507.56,446.12,4954.12,,
09:38.9,4532,4531.51,430.68,4962.68,,
21:49.7,4727,4726.76,470.6,5197.6,,
34:04.0,4574,4573.86,435.89,5009.89,,
46:19.2,4577,4576.75,444.88,5021.88,,
58:33.3,4760,4759.06,535.54,5295.54,,
10:24.1,4592,4591.49,440.41,5032.41,,
22:39.1,4776,4775.44,498.47,5274.47,,
34:52.0,4545,4544.47,481.51,5026.51,,
47:05.6,4818,4817.67,444.64,5262.64,,
