@timestamp,@billedDuration,@duration,@initDuration,,,,
27:24.1,1340,780.2,558.9,,,,
38:15.3,1354,803.71,549.94,,,,
49:05.0,1428,803.98,623.64,,,,
59:54.3,1313,796.07,516.46,,,,
10:51.3,1302,765.86,535.5,,,,
21:46.8,1408,874.1,533.03,,,1382.3,1462.05
32:40.8,1397,815.86,581.13,,,,
43:33.4,1404,816.72,586.54,,,,
54:25.7,1408,801.5,605.56,,,,
05:12.6,1388,813.88,573.67,,,,
15:57.3,1376,788.74,587.13,,,,
26:43.2,1461,804.33,656.15,,,,
37:35.4,1365,782.83,581.31,,,,
48:21.3,1450,878.27,571.31,,,,
59:11.0,1482,839.1,642.08,,,,
10:03.5,1338,782.14,555.27,,,,
20:54.5,1346,785.36,560.01,,,,
31:45.4,1443,856.59,586.1,,,,
42:35.3,1289,796.24,492.22,,,,
53:23.3,1354,814.44,538.92,,,,
