@timestamp,@billedDuration,@duration,@initDuration,total,1118.6775,1167.607
11:05.8,680,679.68,451.37,1131.37,,
21:59.6,662,661.32,455.54,1117.54,,
32:53.5,686,685.88,423.02,1109.02,,
43:45.8,715,714.87,474.59,1189.59,,
54:38.3,717,716.98,449.45,1166.45,,
05:24.7,620,619.06,430.19,1050.19,,
16:10.0,630,630,447,1077,,
26:55.6,699,698.46,436.35,1135.35,,
37:48.2,705,704.34,450.07,1155.07,,
48:33.4,720,719.18,441.84,1161.84,,
59:23.3,619,618.89,435.06,1054.06,,
10:15.8,617,616.59,423.56,1040.56,,
21:07.4,716,715.57,426.23,1142.23,,
31:57.6,682,681.04,467.32,1149.32,,
42:47.4,697,696.77,456.15,1153.15,,
53:35.2,694,693.06,418.07,1112.07,,
04:24.2,700,699.71,435.53,1135.53,,
15:13.3,654,653.82,420.11,1074.11,,
26:01.7,652,651.34,462.69,1114.69,,
36:51.8,630,629.99,474.41,1104.41,,
