@timestamp,@billedDuration,@duration,@initDuration,,,
38:06.7,585,93.06,491.53,,,
48:56.4,630,110.58,518.52,,,
59:45.8,598,89.32,508.35,,,
10:42.7,602,115.39,486.17,,,
21:37.8,631,110.33,520.12,,,
32:32.3,633,133.88,498.26,,,
43:25.1,628,135.4,492.51,,,
54:16.4,632,135.48,495.78,,641.75,705.7
05:03.3,614,116.12,497.47,,,
15:49.0,669,130.51,538.27,,,
26:34.9,654,116.19,537.79,,,
37:26.1,688,174.93,513.05,,,
48:12.6,618,118.89,498.35,,,
59:02.5,673,116.35,556.29,,,
09:54.7,621,106.58,514.23,,,
20:46.4,676,117.18,558.43,,,
31:36.8,643,115.9,526.68,,,
42:27.4,719,175.92,542.15,,,
53:15.0,705,155.96,548.1,,,
04:04.1,616,117.34,498.52,,,
