@timestamp,@billedDuration,@duration,@initDuration,,,,
48:57.5,646,117.62,528.35,,,,
59:46.9,651,92.75,557.51,,,,
10:43.7,566,78.33,487.18,,,,
21:38.7,601,87.04,513.63,,,,
32:33.2,611,79.37,531.3,,,,
43:26.1,649,116.32,531.85,,,,
54:17.4,561,94.16,466.11,,,,
05:04.8,719,171.95,546.82,,,,
15:50.0,630,104.71,524.33,,,,
26:35.9,598,92.76,504.84,,,627.25,696.2
37:28.1,673,94.84,577.5,,,,
48:13.7,669,75.57,592.7,,,,
59:03.5,606,65.64,540.28,,,,
09:55.7,588,72.38,515.58,,,,
20:47.5,605,97.96,506.93,,,,
31:37.8,626,92.46,532.74,,,,
42:28.5,663,95.31,567.25,,,,
53:15.9,612,137.25,474.29,,,,
04:05.2,695,175.7,518.4,,,,
14:53.3,576,96.35,479.13,,,,
