@timestamp,@billedDuration,@duration,@initDuration,,,,,,
59:47.9,603,71.17,531.18,,,,,,
10:44.8,575,56.41,517.81,,,,,,
21:39.7,588,99.23,488.37,,,,,,
32:34.2,593,99.59,492.64,,,,,,
43:27.1,588,53.26,533.97,,,,,,
54:18.5,684,116.01,567.97,,,,,,
05:05.8,589,56.88,531.73,,,,,,
15:51.0,637,135.82,500.25,,,,,,
26:36.8,635,75.66,558.56,,,,,,
37:29.1,686,115.84,570,,,,,,
48:14.6,579,76.14,502.56,,,,,,
59:04.4,522,55.5,466.13,,,,,,
09:56.8,618,95.85,521.31,,,,,607.5,687.55
20:48.4,596,78.24,517.01,,,,,,
31:38.7,598,95.62,501.96,,,,,,
42:29.4,551,75.2,475.19,,,,,,
53:16.8,585,71.38,512.97,,,,,,
04:06.0,558,76.32,481.24,,,,,,
14:54.4,717,54.16,662.68,,,,,,
25:42.9,648,96.19,551.36,,,,,,
