@timestamp,@billedDuration,@duration,@initDuration,total,793.9235,931.0505
37:55.9,289,288.21,441.7,730.7,,
48:46.6,277,276.06,433.25,710.25,,
59:35.5,399,398.38,423.54,822.54,,
10:31.0,378,377.09,437.01,815.01,,
21:26.7,258,257.56,440.42,698.42,,
32:22.1,372,371.06,462.72,834.72,,
43:14.7,295,294.02,432.02,727.02,,
54:05.5,459,458.27,451.49,910.49,,
04:52.6,348,347.46,443.36,791.36,,
15:38.9,374,373.61,416.35,790.35,,
26:24.2,343,342.53,422.71,765.71,,
37:15.2,372,371.59,450.02,822.02,,
48:02.1,456,455.87,473.18,929.18,,
58:52.3,293,292.36,409.69,702.69,,
09:43.9,395,394.63,424.41,819.41,,
20:36.4,354,353.43,416.92,770.92,,
31:27.2,332,331.5,418.4,750.4,,
42:17.8,537,536.57,429.59,966.59,,
53:05.2,336,335.84,422.24,758.24,,
03:54.0,352,351.71,410.45,762.45,,
