@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,,
34:13.0,1982,14.85,190000000,,,,
45:33.0,2070,15.24,191000000,,,,
56:51.1,2076,16.16,189000000,,,,
08:12.8,2029,19.08,190000000,,,,
19:31.3,2028,10.97,191000000,,,,
30:49.7,2048,11.83,190000000,,,,
42:10.3,2025,12.6,190000000,,,,
53:28.0,1959,18.85,191000000,,,,
04:49.7,2079,11.49,197000000,,,,
16:09.9,2011,15.54,196000000,,,,
27:29.9,2040,15.79,196000000,,,2057,2288.15
38:51.1,1995,19.05,191000000,,,,
50:10.3,1808,16.83,196000000,,,,
01:30.4,2285,34.42,196000000,,,,
12:51.1,2018,11.12,191000000,,,,
24:10.5,2348,16.23,191000000,,,,
35:28.3,2024,19.1,193000000,,,,
46:46.0,2142,16.4,197000000,,,,
58:05.2,2199,11.26,197000000,,,,
09:25.2,1974,11.48,189000000,,,,
