@timestamp,@billedDuration,@duration,@initDuration,,,,
43:29.4,1903,13.91,1888.9,,,,
54:21.4,2375,19.24,2355.3,,,,
05:08.2,1986,6.81,1979.15,,,,
15:53.4,2007,6.56,1999.88,,,,
26:39.2,2056,15,2040.91,,,,
37:31.4,1974,6.79,1966.94,,,,
48:17.1,2134,10.66,2123.02,,,,
59:06.9,2047,15.15,2031.02,,,2072.85,2241.05
09:59.3,2234,14.46,2219.47,,,,
20:50.7,2014,6.46,2007.11,,,,
31:41.2,2141,10.06,2130.31,,,,
42:31.7,1987,6.59,1979.92,,,,
53:19.3,2045,16.46,2028.14,,,,
04:08.6,2176,17.65,2157.43,,,,
14:56.8,2066,7.15,2057.95,,,,
25:45.4,2116,14.68,2100.94,,,,
36:35.6,2072,6.39,2064.92,,,,
47:25.4,2064,19.75,2043.27,,,,
58:15.6,2037,15.7,2020.84,,,,
19:55.0,2023,6.92,2016.05,,,,
