@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,
38:48.8,1922,578.68,167000000,,,
49:18.8,1799,456.23,166000000,,,
59:50.8,1690,338.74,167000000,,,
10:20.2,1701,379.22,166000000,,,
20:50.6,1646,398.76,167000000,,,
31:22.6,1950,719.23,167000000,,1874.45,2136.8
41:55.3,1606,339.11,168000000,,,
47:02.9,1876,518.9,168000000,,,
58:44.3,2119,894.66,167000000,,,
10:10.1,2012,554.71,167000000,,,
21:31.1,1941,558.76,167000000,,,
33:01.4,1782,478.49,166000000,,,
44:22.5,2057,836.85,166000000,,,
55:42.8,2190,898.75,167000000,,,
07:03.6,1715,455.04,167000000,,,
18:20.2,1805,519.76,167000000,,,
29:38.8,1875,414.66,167000000,,,
41:01.1,2045,718.43,167000000,,,
52:20.8,2134,759.14,167000000,,,
03:35.8,1624,334.91,167000000,,,
