@timestamp,@billedDuration,@duration,@initDuration,total,1636.1835,1745.891
18:07.7,435,434.49,1339.6,1774.6,,
28:37.9,319,318.73,1343.84,1662.84,,
39:07.8,291,290.46,1351.76,1642.76,,
49:40.5,319,318.74,1295.61,1614.61,,
00:11.8,440,439.63,1263.77,1703.77,,
10:42.5,421,420.3,1323.38,1744.38,,
21:12.0,175,174.85,1215.89,1390.89,,
31:45.3,299,298.59,1271.71,1570.71,,
42:15.4,195,194.39,1251.82,1446.82,,
47:24.0,295,294.59,1319.37,1614.37,,
59:03.6,258,257.14,1350.75,1608.75,,
10:30.1,455,454.44,1275.5,1730.5,,
21:51.5,375,374.49,1223.71,1598.71,,
33:22.2,239,238.54,1331.79,1570.79,,
44:42.4,499,498.36,1243.78,1742.78,,
56:03.5,299,298.12,1379.51,1678.51,,
07:23.0,316,315.06,1287.25,1603.25,,
18:41.3,379,378.67,1331.72,1710.72,,
29:57.6,367,366.6,1259.79,1626.79,,
41:20.4,420,419.13,1267.12,1687.12,,
