@timestamp,@billedDuration,@duration,@initDuration,,,
27:01.4,258,3.4,253.61,,,
37:52.2,262,3.34,258.16,,,
48:42.8,244,3.49,240.45,,,
59:31.7,307,2.94,303.52,,,
10:26.6,298,3.38,294.17,,,
21:22.9,269,15.93,252.59,,,
32:18.4,296,3.54,291.82,,,
43:09.0,217,3.25,213.41,,262.3,309.65
54:01.6,269,3.29,265.08,,,
15:35.2,219,3.08,215.47,,,
26:20.6,294,3.15,290.29,,,
37:11.2,288,3.29,284.54,,,
47:58.3,220,3.07,216.83,,,
58:48.6,216,3.24,212.04,,,
09:40.0,298,3.26,293.75,,,
20:32.1,360,2.89,356.96,,,
31:23.7,236,3.2,232.57,,,
42:13.3,224,3.43,219.94,,,
53:01.7,249,3.04,245.73,,,
03:50.4,222,3.23,218.36,,,
