@timestamp,@billedDuration,@duration,@initDuration,,,,
04:49.2,269,3.36,265.18,,,,
15:35.9,301,3.21,297.75,,,,
26:21.3,248,3.23,244.21,,,,
37:12.0,242,3.33,238.46,,,,
47:58.9,225,3.22,221.61,,,,
58:49.3,237,3.27,233.01,,,,
09:40.7,237,3.34,233.43,,,,
20:32.9,226,3.11,221.92,,,,
31:24.3,245,3.46,241.14,,,,
42:13.9,261,3.21,257.7,,,,
53:02.3,280,3.52,276,,,,
03:51.1,250,3.38,245.76,,,,
14:39.3,235,3.13,231.67,,,265.75,308.85
25:27.9,458,3.13,454.08,,,,
36:17.8,293,3.62,288.51,,,,
47:08.3,292,3.6,288.01,,,,
57:58.0,268,3.52,263.62,,,,
08:45.9,244,3.62,240.26,,,,
19:38.0,278,3.36,273.76,,,,
30:26.2,226,3.14,222.58,,,,
