@timestamp,@billedDuration,@duration,@initDuration,,,,,
10:29.1,225,3.16,221.36,,,,,
21:25.0,243,3.37,238.83,,,,,
32:20.3,229,3.12,225.53,,,,,
43:12.9,245,3.39,240.87,,,,,
54:03.6,277,3.98,272.79,,,,,
04:50.6,240,3.12,236.56,,,,,
15:37.1,246,3.21,242.12,,,,,
26:22.5,246,3.36,241.8,,,,,
37:13.5,235,3.36,231.3,,,,,
48:00.3,240,3.58,235.5,,,,249.1,293.2
58:50.4,241,3.4,237.41,,,,,
09:42.2,263,3.34,259.18,,,,,
20:34.6,297,3.46,292.68,,,,,
31:25.6,212,3.23,207.84,,,,,
42:15.7,259,3.51,255.43,,,,,
53:03.6,241,3.28,236.88,,,,,
03:52.3,293,3.55,289.42,,,,,
14:41.0,241,3.41,236.72,,,,,
25:29.1,224,3.18,220.57,,,,,
36:19.2,285,3.48,281.09,,,,,
