@timestamp,@billedDuration,@duration,@initDuration,total,176.4955,204.852
04:44.7,3,2.83,142.01,145.01,,
15:32.2,4,3.97,160.62,164.62,,
26:17.3,4,3.21,160.19,164.19,,
37:07.2,4,3.37,161.09,165.09,,
47:55.3,4,3.35,158.66,162.66,,
58:45.4,5,4.61,167.98,172.98,,
09:36.5,4,3.61,165.79,169.79,,
20:28.9,4,3.52,174.13,178.13,,
31:20.7,4,3.22,173.81,177.81,,
42:09.7,4,3.58,176.46,180.46,,
52:58.7,4,3.52,175.84,179.84,,
03:47.4,4,3.68,184.27,188.27,,
14:35.7,4,3.35,160.31,164.31,,
25:24.4,4,3.87,199.07,203.07,,
47:03.9,4,3.49,172.53,176.53,,
57:54.2,4,3.73,172.58,176.58,,
08:42.6,4,3.24,159.47,163.47,,
19:34.4,4,3.6,174.08,178.08,,
30:22.7,55,54.62,183.71,238.71,,
41:13.0,4,3.62,176.31,180.31,,
