@timestamp,@billedDuration,@duration
44565.96654,179,178.14
44565.96656,144,143.67
44565.96658,154,153.86
44565.9666,216,215.17
44565.96662,211,210.43
44565.96664,151,150.02
44565.96666,212,211.93
44565.96667,159,158.34
44565.96669,155,154.03
44565.96671,200,199.75
44565.96673,157,156.47
44565.96675,152,151.54
44565.96677,157,156.5
44565.96678,150,149.58
44565.9668,151,150.09
44565.96682,203,202.16
44565.96684,166,165.69
44565.96686,147,146.64
44565.96688,148,147.86
44565.9669,167,166.94
44565.96692,184,183.44
44565.96694,196,195.15
44565.96696,217,217
44565.96697,172,171.22
44565.96699,150,149.65
44565.96701,227,226.87
44565.96703,210,209.98
44565.96708,163,162.95
44565.96709,188,187.2
44565.96711,154,153.33
44565.96713,192,191.78
44565.96715,160,159.48
44565.96717,165,164.49
44565.96719,206,205.32
44565.96721,162,161.95
44565.96723,152,151.47
44565.96725,147,146.37
44565.96726,153,152.57
44565.96729,378,377.03
44565.9673,164,163.79
44565.96732,201,200.93
44565.96734,189,188.66
44565.96736,156,155.49
44565.96739,149,148.9
44565.96741,221,220.93
44565.96743,148,147.89
44565.96745,329,328.03
44565.96747,195,194.05
44565.96748,171,170.37
44565.9675,193,192.79
44565.96752,162,161.57
44565.96754,189,188.2
44565.96756,212,211.22
44565.96758,166,165.55
44565.96759,175,174.01
44565.96761,153,152.24
44565.96763,207,206.35
44565.96765,205,204.18
44565.96767,158,157.88
44565.96769,167,166.66
44565.9677,152,151.03
44565.96772,166,165.31
44565.96774,183,182.43
44565.96776,154,153.48
44565.96778,158,157.52
44565.9678,183,182.99
44565.96782,164,163.12
44565.96783,159,158.57
44565.96786,152,151.03
44565.96787,212,211.53
44565.96789,171,170.25
44565.96791,153,152.39
44565.96793,153,152.24
44565.96795,217,216.99
44565.96797,175,174.98
44565.96799,175,174.23
44565.96801,151,150.3
44565.96802,142,141.51
44565.96804,147,146.33
44565.96806,146,145.61
44565.96808,163,162.7
44565.96809,149,148.02
44565.96811,189,188.11
44565.96813,154,153.05
44565.96815,164,163.31
44565.96817,169,168.01
44565.96819,193,192.55
44565.96821,153,152.68
44565.96823,150,149.96
44565.96825,208,207.16
44565.96827,165,164.77
44565.96829,151,150.3
44565.9683,130,129.18
44565.96832,163,162.82
44565.96834,149,148.01
44565.96836,148,147.41
44565.96838,163,162.06
44565.9684,205,204.93
44565.96842,193,192.61
44565.96843,206,205.2
44565.96846,173,172.39
44565.96848,154,153.48
44565.96849,212,211.51
44565.96851,151,150.24
44565.96853,150,149.28
44565.96855,163,162.82
44565.9686,166,165.67
44565.96862,150,149.84
44565.96863,192,191.46
44565.96865,206,205.19
44565.96867,159,158.75
44565.96869,189,188.74
44565.96871,148,147.12
44565.96873,143,142.99
44565.96874,210,209.21
44565.96876,163,162.41
44565.96878,188,187.83
44565.9688,176,175.03
44565.96882,150,149.29
44565.96884,185,184.08
44565.96886,148,147.49
44565.96887,168,167.44
44565.96889,166,165.49
44565.96891,151,150.86
44565.96893,146,146
44565.96895,409,408.36
44565.96897,172,171.7
44565.96899,189,188.69
44565.96901,167,166.82
44565.96902,192,191.22
44565.96904,151,150.08
44565.96906,165,164.05
44565.96908,161,160.04
44565.96914,168,167.15
44565.96916,183,182.8
44565.96917,148,147.52
44565.96919,146,145.75
44565.96921,188,187.78
44565.96923,183,182.94
44565.96925,152,151.01
44565.96926,159,158.6
44565.96928,183,182.88
44565.9693,166,165.79
44565.96932,189,188.44
44565.96934,161,160.51
44565.96936,143,142.53
44565.96938,204,203.85
44565.96939,145,144.22
44565.96944,224,223.76
44565.96946,207,206.7
44565.96948,169,168.65
44565.9695,187,186.61
44565.96952,161,160.98
44565.96954,148,147.09
44565.96955,151,150.04
44565.96957,148,147.36
44565.96959,183,182.65
44565.96961,203,202.3
44565.96963,184,183.86
44565.96965,158,157.42
44565.96966,149,148.74
44565.96968,146,145.67
44565.9697,167,166.1
44565.96972,159,158.82
44565.96974,210,209.49
44565.96976,162,161.34
44565.96978,163,162.16
