@timestamp,@billedDuration,@duration,@initDuration
11:50.1,25,24.72,
11:51.8,21,20.6,
11:53.4,36,35.08,
11:55.0,30,29.08,
11:56.6,45,44.69,
11:58.2,34,33.6,
11:59.8,43,42.85,
12:01.4,18,17.82,
12:02.9,17,16.79,
12:04.5,40,39.27,
12:06.1,33,32.98,
12:07.7,30,29.74,
12:09.3,35,34.07,
12:10.8,29,28.88,
12:12.4,31,30.15,
12:14.0,37,36.35,
12:15.5,25,24.6,
12:17.8,61,60.76,
12:19.4,29,28.76,
12:21.0,35,34.47,
12:22.6,29,28.8,
12:24.1,31,30.77,
12:25.7,17,16.5,
12:27.3,35,34.81,
12:28.8,17,16.74,
12:30.4,37,36.8,
12:32.0,21,20.56,
12:34.6,46,45.26,
12:36.2,37,36.07,
12:37.8,17,16.7,
12:39.5,49,48.35,
12:41.2,25,24.88,
12:42.9,33,32.2,
12:44.6,39,38.02,
12:46.3,29,28.62,
12:47.8,38,37.04,
12:49.4,41,40.3,
12:50.9,30,29.52,
12:52.5,29,28.63,
12:54.3,43,42.07,
12:56.0,36,35.46,
12:57.5,29,28.87,
12:59.1,33,32.95,
13:01.7,44,43.25,
13:03.2,25,24.75,
13:04.8,29,28.84,
13:06.4,44,43.45,
13:08.2,42,41.72,
13:09.8,30,29.14,
13:11.4,30,29.08,
13:13.0,38,37.05,
13:14.6,33,32.73,
13:16.2,44,43.7,
13:17.8,38,37.39,
13:19.4,40,39.44,
13:21.0,41,40.47,
13:22.5,38,37.77,
13:24.1,40,39.69,
13:25.7,29,28.72,
13:27.3,25,24.73,
13:28.9,44,43.22,
13:30.5,42,41.15,
13:32.1,32,31.1,
13:33.7,29,28.57,
13:35.2,30,29.4,
13:37.0,38,37.52,
13:38.5,29,28.76,
13:40.1,34,33.91,
13:41.8,38,37.56,
13:43.6,51,50.69,
13:45.1,31,30.06,
13:46.7,42,41.39,
13:48.3,45,44.81,
13:49.8,29,28.99,
13:51.5,26,25.11,
13:53.3,31,30.15,
13:54.9,13,12.43,
13:56.5,31,30.93,
13:58.0,38,37.24,
13:59.5,29,28.76,
14:01.1,30,29.35,
14:02.6,39,38.51,
14:04.2,41,40.42,
14:05.7,29,28.7,
14:07.3,51,50.37,
14:08.9,55,54.08,
14:11.2,75,74.76,
14:12.8,29,28.6,
14:14.5,34,33.11,
14:16.1,32,31.34,
14:17.6,32,31.61,
14:19.2,29,28.73,
14:20.7,29,28.61,
14:22.3,35,34.13,
14:23.9,29,28.66,
14:25.5,32,31.2,
14:27.1,14,13.1,
14:28.8,30,29.06,
14:30.4,31,30.04,
14:32.0,32,31.42,
14:33.8,38,37.95,
14:35.5,29,28.84,
14:37.1,31,30.07,
14:38.6,29,28.54,
14:40.1,25,24.97,
14:41.8,30,29.78,
14:43.4,33,32.15,
14:46.0,29,28.68,
14:47.6,30,29.3,
14:49.2,29,28.87,
14:50.8,29,28.78,
14:52.4,30,29.46,
14:54.0,26,25.17,
14:55.6,32,31.61,
14:57.1,34,33.12,
14:58.6,42,41.5,
15:00.2,30,29.77,
15:01.8,29,28.82,
15:03.6,29,28.77,
15:05.2,29,28.61,
15:06.7,31,30.86,
15:08.3,45,44.67,
15:09.9,29,28.86,
15:11.4,44,43.57,
15:13.0,17,16.82,
15:14.7,30,29.01,
15:16.5,29,28.8,
15:18.3,30,29.19,
15:19.8,30,29.15,
15:21.4,30,29.63,
15:22.9,31,30.19,
15:24.5,29,28.59,
15:26.1,29,28.94,
15:27.7,17,16.63,
15:29.6,37,36.47,
15:32.7,17,16.73,
15:34.4,26,25.59,
15:35.9,30,29.7,
15:37.5,21,20.72,
15:39.0,25,24.81,
15:40.6,17,16.98,
15:42.2,32,31.28,
15:43.7,17,16.63,
15:45.2,29,28.65,
15:46.9,30,29.14,
15:48.6,53,52.96,
15:50.1,53,52.55,
15:51.7,37,36.59,
15:53.3,26,25.51,
15:54.9,29,28.78,
15:56.4,13,12.58,
15:59.1,38,37.33,
16:00.7,44,43.03,
16:02.2,29,28.69,
16:03.8,29,28.78,
16:05.5,29,28.66,
16:07.1,38,37.52,
16:08.6,32,31.83,
16:10.1,30,29,
16:11.8,36,35.37,
16:13.3,30,29.14,
16:15.0,30,29,
16:16.5,17,16.51,
16:18.1,29,28.64,
16:19.7,26,25.04,
16:21.3,21,20.78,
